Pair, Boards, Score
Vinod SHARMA - Sudhir AGGARWAL (DELHI),50,680.00
Rashidul GHAZI - Muhammad Saeed AKHTAR (PAKISTAN),50,-680.00
Asanka AMARASINGHE - Rasika KARUNATILAKE (SRILANKA),50,-460.00
MD Rifatul ISLAM - MD Rashedul AHASAN (BANGLADESH),50,460.00
Javaid KHALID - Javed Ahmed MIRAN (PAKISTAN),50,20.00
Nikita KAMAL - Amarjit WADHAWAN (DELHI),50,-20.00
Shah Zia-Ul HAQUE HAQUE - A H M KAMRUZZAMAN (BANGLADESH),50,-240.00
Dr. HS Dilanjan SOYSA - Cera FERNANDO (SRILANKA),50,240.00
